,capacity
ONEPLUS A6010,3700
MEGA2,2800
XperiaÂ XA2 Ultra,3580
A10_Lite_2019,2150
Kata-M4,5000
705-G,950
vivo 1805,4000
5059D,2460
Lenovo S856,2500
SM-J3308,2400
BL150,1020
Viewphone Q5,2180
TAB 678 3G,4800
H4311,3300
AQT100,7000
LGM-V300S,3300
MY31,6000
Lenovo S858t,3000
SM-P901,9500
A70,4500
Panasonic T35,1800
Lenovo A5500-HV,4200
H5,3020
C256,2600
SENSEIT E400,900
Studio G Mini,1700
D455,1700
5080Q,2460
503HW,2200
XT1050,2200
IdeaTabA1000-F,3500
HRY-LX1T,3400
4024E,1450
PGN-404,860
WE F10,600
A1802,205
HTC Desire 510,2100
Micromax A110,2000
Optima Prime 5 3G TS7198PG,2000
E100,720
M10,3400
5099I,3000
Micromax A092,1500
Lenovo S880,2250
HUAWEI G750-T01,3000
DIG-L21HN,3020
KSA-LX9,3020
LG-LS993,3300
vivo Y15T,1900
K8000,1900
X5 4G,3060
S9_Pro,3000
C1605,1530
Star_Mini,1200
M21i,900
GT-I9210,1850
LM-Q610.FGN,3000
ALCATEL ONE TOUCH 7042E,1500
T400,800
A3 LTE,4030
HUAWEI Y330-C00,1500
R17,3500
S6 Pro,3130
Aqua Curve mini,2300
HERO2,3100
LG-H740,3000
cube 5.0,2100
i6,1810
HUAWEI MT7-TL10,4100
PHANTOM PZ 20,4000
CPH1877,3700
Mi Note 3,3500
C7Plus,3000
Redmi Y3,4000
MTC 970H,1500
KYY22,2030
SM-A305F,4000
SM-G970F,3100
Hammer AXE Pro,1500
EVERCOSS A7A*,1400
VS870 4G,2460
AF51,620
SM-G110M,1200
M1092R,2390
Y511-U00,1730
Prime P300,3340
SM-M305F,5000
5086D,3000
Hyper X Dragon,4000
Cosmos_V19_Plus,3400
W-V600,3000
LG-P870,2150
LUNA V57,1650
Dash L4,1700
V2 Pro,3500
MX,1600
GT-I9220,2500
XT916,1785
Lenovo A7600-H,6340
Smart,3400
HUAWEI Y221-U22,1350
SM-S767VL,3300
Aqua Raze,2500
SM-G355HN,2000
N5110,4600
MTK,4100
G610-U00,2150
Onyx-1+LTE,2525
SM-G130HN,1300
GFIVE President Tango 3(T3100),1500
K9,3000
Micromax_Q353,2820
HUAWEI Y330-U05,1500
HP 7 VoiceTab,3000
A5000,4000
P710,2460
U20 Plus,5000
U6 PRIME,3000
5038A,1800
Lenovo A7600-F,6340
Lenovo A680_ROW,2000
S50H,2300
HUAWEI Y530-U051,1750
vivo X3S W,2000
R830,2100
506SH,3000
SO-04E,2300
ZTE BLADE V0710,3000
SCH-I925,6800
W280,430
MLLED X9,3050
Lenovo A788T,2500
C201,1020
Micromax Q350R,2000
Tornado,1050
FTJ161A,1800
Flare J5 Mini,2100
RMX1831,3500
Infinix X572-LTE,4300
Impulse_P2,5100
Tab_3_Max,6800
vivo Y13,5000
LG-F350L,3200
V94,3260
M35c,2370
BLADE V9 VITA,3200
EVERCOSS P4,1800
X1030X,2000
T-73,3100
Acer Z520,2000
verykool s4006,2000
Y5,3020
SM-J110L,1900
TECNO CF7k,3750
Infinix X627V,3500
HTC Desire 520,2000
WIM Lite,3000
LG-F160,2150
MS6,3000
XT910,1780
SM-N960N,4000
Xmini4G,1800
LG-F350K,3200
AP-107G,1540
Nokia_Xplus,1500
lephone T9+,4000
Celkon Q455,2000
OPPO R7sm,3070
ELE-L09,3650
OPPO R11s Plust,4000
D2203,2330
PGN-506,860
GT-I8268,1800
Aqua Slice,2000
LG-Q710PL,3300
Lenovo TB-8504X,4850
Panasonic T41,1650
Tab-A9,6000
HUAWEI U8950-1,1930
KL600B,3000
SM-A260G,2600
MAX-20,4000
S35D,1350
Redmi Note 7 Pro,4000
vivo S7t,5000
Micromax A316,3000
TECNO B2,2400
B BOT 50,3500
vivo 1820_19,4030
A5003,5910
MAGNUS,2000
LT25i,1750
LA6,5000
LP N-37,3500
RMX1941,4000
Pixel 3a XL,3700
TA-1025,3000
801L,4800
BQ-5707G,3100
iris 500,2600
Aqua Style 4.0,2300
SHV-E120S,1850
GT-810,4420
Neon,800
Lenovo L38043,3000
CPH1831,3430
Infinix X622,4000
GT-I9103,1650
Q701,3300
P9_Energy_S,5000
Xs,2658
Andy C5VP,2020
SM-A10 Pro,3400
L520,2000
SM-G975U1,4100
A7T+,4500
HTC Desire 10 compact,3300
Neffos Y50,5000
J7 Prime Prime,3300
YUHO H1,3040
Quattro L55 HD,3765
Ursus Z380,4000
F9,3500
MAXTRON S9,3000
StyleX,2100
A85,1500
Beeline Pro,3050
SNE-LX3,3750
N17,2950
SM-T510,6150
AGS-L03,4800
C6730,1050
BLACK,4000
MX7,1660
A900i,2000
SM-G610S,3300
SM-G925L,2600
HOT 5,4000
TECNO-L5,1500
View Max,4000
HUAWEI G510-0200,1700
OK-LX4,4000
Spark,3000
X8 Pro,3210
H3311,3300
9027W,4080
BQ-5015L,3100
G735-L03,3000
Era_4X_2GB,4000
HTC_M10f,3200
E81,900
LG-F310LR,3140
TC-A7,2600
Desire 650,2200
AS7 PRO,4230
HUAWEI G730-L075,2300
LG-F460L,3000
9026T,2460
UItra 5,5000
Coolpad 8675-W00,2500
K7000,2900
S996,3000
SM-A500YZ,2300
HONOR H30-L02,2300
HTC_D530u,2200
XPERIA M2,2300
SM-A3000,1900
BLU NEO 5.0,820
COLORS P55,2500
LG-V607L,4200
SM-E700M,2950
LZ6,4050
IF9002,5500
LG-H950,3000
Lenovo A560,2000
7045Y,3000
A1-810,4960
DROID BIONIC,1735
ASUS_X00ADC,2600
LG-D320AR,2100
SM-A202F,3000
GT-I9208,3200
COVET Z,3300
Symbol S4,2600
HTC D820u,2600
SC-999BT,2600
Lenovo TB-X304F,7000
SM-S765C,1500
N7 pro,4000
E76,1100
P20 Lite,3000
cp3705A,4000
LG-F460K,3000
Vivo XI PLUS,3050
Primo RM2,3330
AMN-LX9,3020
A101S,2100
Hurricane,3300
SM-A405FN,3100
F1100,600
R9,4120
Studio J5,2300
MITO_A80,2000
SM-M105M,3400
vivo Y11i T,3315
A680i,2000
Power 2,4500
Mi 9 SE,3070
SM-G730V,2100
RMX1807,3500
HD Plus,2000
TECNO LB6,5000
Lenovo TB-8304F1,4850
N3C,2500
Boost View 5.0,1500
Tab 8i,6000
V6_Metal,2000
Blade 3,1600
ASUS_Z00WD,2040
G550KL,3010
Micromax AQ5000,3000
L9503,2100
G720T,2400
MediaPad M1 8.0,4800
SM-A305GN,4000
A50TI,2100
Grand X,2200
LG-H871S,3300
Amazing A5S,4230
Life Pro 7,4000
ALCATEL ONE TOUCH 6010D,1500
Lenovo P700i,2500
Coolpad N2M,3200
I80,2540
3001,1400
A12,4230
P7_PRO,2300
LM-G710VM,3000
PantechP9070,1650
V9s,3260
HTC_D526h,2000
CITI 1532 3G CS1144MG,1700
MX3,2400
LG-H525,2540
R2,2500
SM-G973N,3400
SM-N750S,3100
X6pro,3100
LG-E450B,1700
Micromax A065,2000
HTC_D626x,2000
AS-5433 Secret,800
Max8,4360
ENERGY S600,4500
moto g(7),3000
SM-J260A,2600
C5X,2000
Jade7s,2300
C9660,1800
SM-A700L,2600
BQ-6010G,3100
F3s,3200
E6560T,3100
Redmi Note 7S,4000
Aqua Star Power,2000
K-10,2300
403SH,2030
MTN-S820,2000
X400,620
C808,1400
AX1077,3500
A501DL,2460
ASUS_X007DB,3000
TECNO R5,2000
Infinix X625D,4000
P771,6000
Nitro 4 GO,1400
SM-N7507,3100
Life One X3,5000
Q8,3300
Smart10s,19
C225,1000
HTC One mini 2,2110
VIVO AIR,2100
BBA100-2,3000
PAP3400DUO,1500
GO1006,1050
DUB-LX2,4000
Alpha R,1860
TECNO LA6,5000
4027X,1400
950,3000
SM-T237P,4000
5058I,3000
X11S,2500
nova 3i mini,3340
K011,4000
HM 1SC,2000
C6725,2100
S2 LITE,1850
T7 Pro,4085
A40mini,3100
M9,2840
Plume L2 Pro,3000
iKU T1,4100
3600I,880
HUAWEI G620,2000
SM-A7 Star,3300
SHV35,3090
U683CL,4500
GT-S5301B,1200
FS8001,2600
Warrior,2000
ASUS_X013DA,3010
5503,2300
Alcatel T 5033T,2000
HM-G303-W,650
BLU STUDIO C SUPER CAMERA,2800
MK5,3150
Aqua 4.5 3G,1600
Primo E9,2000
vivo 1904,5000
Xtreme XT309 Plus,3500
SM-G9006W,2800
MiNi_Mate_S,2700
A10 Pro 2018,3400
S308,1400
SAMSUNG-SGH-I527,3200
HTC_M8x,2600
PHANTOM5,2700
TSD Octa A0520P,860
BLADE A530,2400
Genius III,1200
G552KL,3000
SM-N750K,3100
HTC 608t,1860
Mango S5,4100
F8131,2700
HTC_PN071,2300
Lenovo 2 A7-30HC,3450
INE-LX2r,3340
SANNO V8,3000
Mix Mini,4400
S5001,2000
W800,900
ASUS_X003,2500
MAR-LX1M,3340
ZTE Blade Apex2,2000
SM-T835,7300
ML-TI-MS80,4000
TA-1027,3000
5033J,2460
X530,750
LG-E410f,1540
FT162D,3100
MT2L03,4050
Aqua Y2 Pro,1500
Infinix S2,3000
Beeline Pro 4,3050
iris605,2200
SM-G532G/DS,2600
C-701,750
SE1,1624
You L,3000
SM-A705FN,4500
Q10A,2100
C.202,1000
Lenovo TB-X104F,7000
Titanium S200 HD,2300
Beeline Smart,2200
GT-S7560M,1500
G735-L23,3000
GALAXY S8,3000
SM-A105M,3400
Infinix X530,950
4E,3340
CPH1911,4020
Fashion G8,3000
AX4Nano_plus,2700
S50A,4000
BQ-1045,3100
XR,2942
TECNO B1f,2400
BGH JOY X2,1900
INOI_3,2320
M7sLite,4000
vivo 1901,5000
LG-D380,2540
Elite Star,3020
SGH-T599V,1500
ZTE S36,2400
i75,1500
Lenovo S5000-H,3450
BLU STUDIO C 5+5 LTE,2000
Energy Phone Max 4G,4000
Spice Xlife-520HD,2000
HTC One 802w,2300
6016X,1700
Energy Phone Max,18
Pace 2 Lite,2000
EROS Power,4000
Lenovo A399,1500
GT-I8262B,1800
H400,2100
GIONEE F205 Pro,2670
ImPAD 6414,8827
JY-G3,3000
Cameleon C4,1300
Q10,2100
Z963U,2500
M9s,2840
PC9,4030
V92,4030
SM-A305G,4000
Micromax A069,2100
CPH1923,4000
9002A,2820
X90,1800
QMobile T50,1200
D100 mini series,800
Y9 2019,4000
ONE TOUCH 4033E,1300
TECNO KB7j,3500
MRD-LX1,3020
BAH-L09,6660
Lenovo L18021,4000
W-K510-EEA,4000
HUAWEI G730-U251,2300
HAFURY MIX,4400
A7 X,3500
SGH-S730G,1300
JSN-L42,3750
LG-V533,3000
BLU DASH L,1450
5046G,2460
DL501,2050
W-V720-EEA,4000
X7 Pro,3000
4104116N,4000
PE-TL10,3600
W-K360-TV,3000
XZ Premium,3230
SM-G720AX,2500
SM-A505G,4000
Micromax A117,2000
TCL P606T,4500
ix,2716
TECNO-N6,2700
RMX1821,4230
Grand Prime Pro,2600
SM-C7108,3000
A31,5000
LM-X510WM,4500
SM-G3556D,4500
WAS-TL10,3000
BRAVIS S500,800
5059X,2460
ME301T,19
SM-A530N,3000
INFINIT_1,3000
LG-F590L,5000
QMobile A75,1500
INE-LX1r,3340
NEON_RAY,3000
GT-I9070P,1500
Aqua Star II,2000
P33 Plus,4000
LG-X190,3000
QMobile i5i 2018,1700
N66,4000
HTC_D626ph,2000
ZTE Blade A470,2200
A6L-C,3000
moto g(7) plus,3000
W-U300,690
K706,2000
vivo Y28L,2100
RMX1945,4000
6050Y,2150
ASUS_X013DB,3010
Colors P70,4000
Eagle_4G,4800
MOMO9-3,4230
GEOTEL_Note,5000
NOA TAB 7,3500
TDS 10.1 QC,6150
SM-G960W,3000
i8 Plus,2691
BUSH SPIRA B4 5,3000
5022E,2000
XT1031,2070
F3000,1000
SP633,4000
X4_Soul_Infinity_Plus,3050
A140,670
V42,3020
SM-G930FD,3000
T9,4000
G2,3000
HUAWEI TAG-AL00,2200
A33,2400
PLUM Z516,2000
HTC One Me,2840
Twist 2,800
C703,2000
LG-D120AR,1540
GT-P5200,6800
Dream_D1,2100
SGH-T599,1500
SM-J737T,3300
HTC D626w,2000
Impress_Ra,750
CQ,4230
Z81,3000
ONE TOUCH 4015X,1300
Redmi 7A,4000
BQ-5002G,3100
HUAWEI G730-T00,2300
BQ-5001L,3100
LG-H630,3000
ALCATEL C7,1900
K900,2500
Z2 Play,3000
MI PLAY,3000
Q09,2500
LG-US601,4500
A520L,3000
Infinix X624,4000
D2005,1700
J56,3100
5159J,1800
LG-F180S,2100
LUNA V55A,1650
A3s,4230
Fire_Plus_LTE,2400
DX765 Pro,4045
HUAWEI G7,3000
Primo E6,2500
RVL-AL09,5000
KIW-L24,3000
SM-G9008W,2800
Rockchip RK3288 Chromebook,4500
IMO S50,1200
SM-G920A,2550
C-723,1200
HUAWEI Y330-U01,1500
Pixel 3,2915
BLU DASH 5.0,2000
ZTE Blade L130RU,2000
ALCATEL ONE TOUCH 7047A,2500
5099U,3000
Gpad 706 Plus,4000
S9_edge+,3000
I-S2,1650
MT6572,1300
P789,2000
B-ONE,3500
Infinix X627,3500
5049G,2460
5017E,1400
K01B,5000
HUAWEI H891L,2200
NOCAM,2500
AMN-LX2,3020
Nova 4,3750
C5303,2370
LG-E410g,1540
Q7,3000
Xperia X,2620
ELE-L29,3650
6,1810
011,3750
Lenovo A3800-d,2300
Z830,1800
cp3705AS,4000
Titanium Vista,2050
Titan 600,3000
A60,3500
B501,2650
LG-F310L,3140
GT-S6790,1300
IQ4511 Octa,1920
Mate8,4000
P4502,3000
vivo X3S,2000
nova 4 mini,3750
7plus,2900
BAH-W09,6660
P550S,5000
FDR-A01L,6660
5033T,2460
WIKO 8702D,2500
MEDION B5530,1000
X1 7.0,5000
Tecno A9900,3500
LGLS660,2100
NT-1502C-1503C,1500
HTC Desire 626,2000
HTCD200LVW,2000
L540,4000
V55C,1650
ZTE N9120,1730
Andy_3.5E2I,2000
SM-T837T,7300
A26,2000
R15,3450
HTC_U-2u,2500
XS1,1000
BQ-5209L,3100
XA,2300
1821,1821
Discovery,1000
IdeaTab A3000-H,3500
TECNO SA1,2400
G3426,3430
VOLT_5XL,3000
3i,3340
SM-J10 Prime,2600
MRD-LX3,3020
A800 PRO,750
ZTE Blade L8,2000
SHT-AL09,5100
Grand M2 LTE,2600
GSmart_Classic_Lite,2100
ZC551KL,3000
BLADE V Ultra,1800
VCE-L22,3750
Lenovo S820,2000
Lenovo A390t,1500
SM-A260F,2600
P01V,3500
ZTE A2017U,3250
Prime_4G,2600
Primo GH7,3300
BGH Joy V6,1900
SM-P580,7300
Hammer Energy 3G,1500
W-K420-TVM,2500
PHQ519,2000
NX402,2000
Y69,3000
R2_Plus,3000
XT915,1785
Life Max,3700
Hi9Air,7700
SM-G973W,3400
DASH_X_PLUS_LTE,2750
BKK-L21,4000
LG-F820L,3000
Aqua_Power,4000
KYY21,2100
P6000 5.0 01,4180
MiCA,4020
DIGICELDL1,3500
MT6571,2000
Plane 9507M 3G PS9079MG,650
LS-5021,2540
Campus M2,2500
SHW-M480W,7000
Zoom,4000
ME-711,3070
HTC Desire 828,2800
Y4,3300
K502,900
LINQ X100,1700
CPH1903,4230
Lenovo B6000-H,6000
ZTE BLADE V7 PLUS,2540
MyPhone Rio Junior TV,1000
VFD 529,2200
XT1056,2200
SKY4,4000
MITO A30,2500
B1-750,3700
Ulefone_S1_Pro,3000
IRO A55 Q,1000
E435 Plus,1540
SM-A102U,3000
Vivo One Plus,3000
LG-D373,2540
SOV36,2700
Techpad X5,3000
HTC Sensation XE with Beats Audio Z715e,1730
iris X1 Grand,2200
TECNO KB8,3500
DUB-AL20,4000
SM-A505GN,4000
SM-J737U,3300
LM-Q710.FGN,3300
i5530,1200
ELUGA_A3_Pro,4000
CLT-L04,4000
W4,1950
S51,4000
ALCATEL ONE TOUCH 6032,2000
7040T,2000
R8007,2410
G620S-L02,2000
Archos Access 50S 4G,2000
E3 Dual,2330
Che2-TL00M,3000
Fusion Aura 3s,3800
N915,3000
RMX1851,4045
Y3S,4230
4047F,2050
Galaxy S9+,3000
Aqua Star 5.0,2000
M 9,2840
LG-F670S,2300
Infinix X625B,4000
7i,4200
402SO,2930
STYLO S551,3000
A1830,4000
Nokia 2.2,3000
TECNO LB7,5000
ADMIRE SHINE,2460
T3E,2470
Wieppo S6,2550
T1-A21L,4800
LM-Q720,3500
Luno,1650
COSMOS THREE,900
Thrill Boost 2 Plus,4000
SCH-i705,4000
B350,1000
HUAWEI CAM-L21,2200
W100,400
1107,800
PE-UL00,3600
H870,3300
Infinix X626B,4000
MyPhone my89 DTV,1500
SM-A205G,4000
ZTE Blade L8RU,2000
ZTE Blade A3 2019RU,2000
S401,1400
CAMOM 11 Pro,3750
GT-S6810L,1300
SM-A505U,4000
A5002,4420
M23,4380
Tecno A708,4000
LG-F500S,3000
MAXTRON S8,3000
verykools5527,2800
C15 Pro,4000
GT-S6810B,1300
BKK-AL10,4000
M5 mini,4000
JAT-AL00,3020
BQ-5520L,3100
SM-N9100,3000
U FEEL FAB,4000
9002X,2820
E1-B,1760
P10_Style,2300
LG-F240K,3140
S9 Plus,3500
SM-G7200,2500
MAR-LX3A,3340
TM-7053,1500
X7pro,3000
ZB631KL,5000
Ulefone_S11,3500
SM-J10 Pro,4000
Lenovo A936,3300
Smart IV,4000
Wiko HS-E620M,2120
VOG-L29,4200
6050F,2150
Mate7,4100
LG-F800L,3200
SM-T807V,7900
N3 Plus,3000
BLU ENERGY X PLUS,4000
SM-S737TL,3300
SC-02K,3000
BQ-6040L,3100
HYPER X ALPHA,4050
A7V,3500
HUAWEI G620-L72,2000
NX569J,2950
ZTE Blade G Lux,1850
HS-U601,2100
K-9,3000
Redmi Note 3   unbrickandroid.com,4050
Positivo One,3100
CPH1879,3500
JAT-L29,3020
TECNO LC6,5000
B1-710,2640
i8i Dual,2120
X3_Soul_mini,2350
ZTE BLADE A321,4000
JKM-LX2,4000
B4S pro,4045
X510A,2100
HTC 802d,2300
YOORD,3000
GN3003,1800
NUU_X5,3000
A9 Star,3700
ALCATEL ONETOUCH POPC5,1800
K501,900
Premium,3230
XPLAY 6,4080
WG-7650,750
4060S,1500
A1820,2000
SM-J415N,3300
Z-22,1300
HUAWEI Y560-L23,2000
A1809,3500
EVERCOSS A65,1500
VS840 4G,1700
HTC Desire 610,2040
Archos 70 Platinum v3,2000
PSP5522DUO,2000
RMX1903,3765
FS8028,5000
A1 Pro,3080
W6500,2400
GN5003,5000
W-V720-OPE,4000
Haier I60,650
CLASSIC 8,2515
Winds Mobile Tab 10.1 Plus,7000
D6 Lite,2200
AS5,4230
D19,3850
VFD 511,2200
HTC Desire WildfireV1 dual sim,1800
ALCATEL-7041D,1900
P002,3500
m1 metal,3140
A6+,3000
ONE E1001,2525
D2243,2330
LG-P710,2460
TELMA F1+4G,5150
ST23i,1500
Plane 7580S 4G PS7192PL,1700
SM-J7 Pro[9],3600
M4 SS4453-R,5000
Leader L3,3300
Lenovo TB-X605L,7000
Cynus F3,2400
Royale A1,3080
TECNO P904,5000
vivo X6D,2400
P30A Pro,4200
ASUS_Z017DA,2600
Nokia 8 Sirocco,3260
BILLIE G2,1300
STK-L21,4000
BlackBerry Z10,1800
9015Q,2580
T989 plus,1850
A35,600
IM-100S,1100
CAM-L32,2200
Vivo XI,3000
ZTE Q5-T,2400
K30Plus,2880
MB4 WIFI,900
9008D,3000
T7V 3G,2600
SM-J337U,2600
LG-D722AR,2540
M55C,700
HTC Desire 12s,3075
Z30,2880
LG-F650S,2300
F5S,3200
X50L,2800
Flare J8,3500
LG-D725PR,2540
S400,1400
H8,4000
G7050,760
HUAWEI Y360-U72,1730
PAP4040_DUO,1500
Diamond,900
SM-N9200,3000
LYA-L29,4200
C100,780
LAMZIEN-P1,1670
H860,2800
Azumi KIREI A4 D,1400
PMP7280C,4600
SPARK2,3500
Passion P5,1850
S45B,850
A1815,3000
K31,2300
mione Hero 5,5000
V15Pro,3700
Lenovo A7020a40,3500
SM-M105G,3400
Venture 1,4100
A9_Pro,5000
A552,5000
Z3351S,4080
FIND7,3000
BQ-5517L,3100
HUAWEI MT7-CL00,4100
M9 Pro,3300
ALCATEL ONE TOUCH 4037N,1400
BQ-5519L,3100
A30,4000
N360 Neo,4500
SM-A700H,2600
OK-LS1,1800
HUAWEI G700-U00,2150
TECNO LB8,6000
SM-A105FN,3400
IdeaTabA1000-G,3500
Lion_Dual,1900
ZA 989,3300
meizu X8,3210
PAP5000TDUO,2200
X90L,10
VS876,2440
C5302,2370
SPH-L520,2600
Samsung s3 mini+,1500
RIDGE,2400
Xtreme XT84,4550
BQ-5514G,3100
AGS2-L09,5100
SM-A205FN,4000
OPPO A57,2900
LM-G710N,3000
K7 Power,2125
vivo 1907,4500
Archos 45c Helium,1850
V55,700
A23,4000
N-07D,1800
N770,4500
Q05A,2180
IM4,3080
Le2 x527,3000
Ocean_8,3000
SM-G977N,4500
pop,4000
Konnect Prime,4000
GLOW 7 2.1,3500
Maximus V.1.2,1400
PMT5777_3G,3000
U701,1710
T35,4450
M10A-Lite,3340
LG-E435,1540
vivo Y923,5000
SM-J100Y,1850
i9501,2600
J6,3000
TURKCELL T40,1500
E8,2600
NASCO TANGO 7,4000
i6i Dual,1800
A240,2600
I509,1200
E1000,820
Mega Plus3,3200
W-K510-BYT,750
INTEX IP0418ND,4000
W5S-IPS,2850
EVERCOSS A7F,3500
X909,2500
M2S,3400
X82,3580
super 5,2500
i7_Plus,2900
Xtreme 1,2500
STARSHINE5,2460
GT-S5312B,1200
X9079,4120
ZTE G720T,2400
9027X,4080
HTC U12+,3500
motorola one vision,3500
ZTE BLADE A0605,5000
T1-A21w,4800
DUB-LX3,4000
Mediatek MTK8173 Chromebook,4500
DROIDZ Play,3510
SGH-T399N,1800
LT18i,1500
F1S,3075
Lenovo K51c78,3300
LG-F690S,2520
ALCATEL_4034A,1500
SM-E500F,2400
TECNO AB7,3500
Z559DL,2000
LG-M320G,4500
STK Storm 2e Pluz,1900
SHV-E310K,2800
CAM-TL00,2200
Leagoo M6,5000
MYA-AL10,3000
Gpower 3,5000
Micromax A075,1300
C8 Pro,3000
T2 PLUS,3000
Galaxy Tab 2 3G,4000
moto g(7) optimo maxx(XT1955DL),3000
VFD 527,2000
ENERGY S500E,2000
HTC Desire 650 dual sim,2200
Y8C,4000
SM-A305GT,4000
V360,810
SM-J337R4,2600
AMN-LX1,3020
Q820,2600
V142,2750
LG-X135,1700
TA-1044,3000
TA-40,3000
R819,2000
402SH,2030
CHE-TL00H,3000
9008N,3000
GN5005L,4000
Turbo C4 Plus,5000
VIPRO PRO 1,3050
Studio 50,2000
ZTE Blade D6 Lite 3G,2200
POT-LX3,3400
SM-A107F,4000
ACE3,1500
LG-LS980,3000
Passport,3450
swisstone SD 530,2200
Mate 23,4200
VFD700,2960
A820,2000
i-mobile IQX OKU,1500
Z813,2100
T1K Plus,3570
KYOCERA-C6745,2100
HTC_D826y,2600
C-6,1200
K16,16
SAMSUNG-SM-T217A,4000
5049E,2460
ASUS_T00K,2500
find X,3730
BQ-1085L,3100
GT-I9080L,2100
XZ1,2700
Mars 8,3800
HTC_D626q,2000
P021,4890
X-pad SHINE 8.1 3G (revision 3),4500
O51,3100
M6,7500
AS-503,1200
Evolio S4 Cobalt,2000
HTC One M9PLUS,2840
BLUESONIC,5000
Redplus R9,4120
LS032M,3000
M578,2500
LG-D723,2540
Y511,1730
A850i,2250
G9,4000
Grand 1,2100
SM-T837V,7300
V10_4G,3000
SM-J5008,2600
Bonvi Prime,2500
BQ-1082G,3100
Beon F1,4000
G6,3300
P30 Mini,3650
LM-X420,3000
SM-N9006,3200
SM-J737R4,3300
Moto Z3 Play,3000
Infinix X625C,4000
SM-G973F,3400
5059Y,2460
A8s,3400
Prism II,1750
K014,6600
LG-P769,2150
ROCKET II,1850
LG-D285,2100
GT-S5310C,1200
Capture+,3500
ZTE V967S,2500
10x,4065
Venue 7 HSPA+,4100
SM-G925D,2600
Infinix_X521_LTE,3000
Micromax D306,2980
W_C200SN,2500
P30,3650
5046I,2460
HUAWEI U8666E,1400
LenovoA3300-HV farsi by www.pars-gsm.com,3500
SM-G900T3,2800
Micromax Q398,2980
GT-N8010,7000
Forme R7S,3070
Razar,4000
Panasonic P55,2500
I4332,3300
Curve9,1450
P6_Qmax,3140
SM-N935L,3200
RMX1827,4230
M651G,1200
BQ-5515L,3100
Lenovo A2860,4000
PantechP4100,6400
Flare S8,3000
Z9,2900
Micromax A064,1500
XT918,1785
SM-A710Y,3300
TECNO KC1j,3000
Lenovo S860,4000
GVILL,4050
Q7A+,3000
STRATUS,800
SCV39,3500
Studio X8 HD,2000
L60 Pro,1540
1804,1000
verykools5036,2000
AMN-LX3,3020
L500C,2230
SHOWN_P1+,5000
SM-A7,3300
Flair P1,1400
TECNO KC1,3000
S710,1050
C702,950
HUAWEI Y550,2000
i3L,3300
RMX1833,3500
S71,4500
Hero,1350
Lenovo YT3-X90F,10
Tecno G636,3500
S4-KC,2600
S550 Pro,3000
Flare Y3 Pro,2280
ZB601KL,5000
SM-G930L,3000
5047U,2200
X300,800
Quatro 10,1600
F6,2460
Andromax AD683J,1950
SC-02G,2800
ALCATEL ONE TOUCH 992D,1500
STV100-3,3410
P1-mini,4000
d-01J,5100
HUAWEI CUN-L02,2200
i1 Desire,2730
X1_Light,3000
SM-V9 Active,3260
T706,4900
RAINBOW JAM 4G,2500
A51,4000
Grand 2,2600
VOX Energy,4000
ZTE Blade A531,1250
Plane 7.12 3G PS7012PG,650
P1m,4000
LM-X120,3000
SC-02L,2600
Archos 50c Helium,2000
SM-A605F,3500
SM-G316M,1500
Royale_X2,4000
LM-G820,3500
HUAWEI G750-T20,3000
DASH X PLUS,2750
Venus_R9,4120
SM-M30,5000
XL-103Q,2000
SYNQ,1900
WT19i,1200
LG-E612,1500
HUAWEI CAM-L23,2200
704-G,7000
Pixel 3a,3000
M20,5000
RMX1911,5000
Nokia 7.1,3060
A658t,1800
GT-P7500,7000
F5mini,2000
P5Life,1850
202F,3000
iris 705,2000
S5E+,7040
C_Note_Pro,5020
X3_Soul_Lite,2400
V97,3315
HTC D816w,2600
BQ-1077L,3100
ET2,4000
SM-A310M,2300
HUAWEI G610-T11,2150
Cloud Jewel,2300
SM-T331,4450
SHV-E120L,1850
P6000_Plus,6180
T1M,4000
MITO T80,2250
M002G-2,4230
SM-N970U,3500
SM-G935L,3600
SM-N975F,4300
LG-P705,1700
ZTE Blade III Pro,1600
Z309,950
SM-A510L,2900
GT-P7300,6000
C03,2500
CPH1933,5000
Evo 2,3200
HUAWEI G610-U20,2150
SPARK S50,3000
JOY2,1900
SM-V7 Active,4000
SM-G7508Q,2800
D6643,3100
Y11s,5000
S55A,4000
LT28i,1900
ATOM 4G,1750
ZTE Blade A515,2540
IM-A860L,3140
A22,2000
SC-03L,3000
QMobile X80,1500
M370,1000
Glory G1,1150
LIGHT MINI,3020
LG-D340f8,5000
EVERCOSS A7L,2000
Archos Sense 55 DC,3000
Aquaris V Plus,3400
SCH-R830,2100
Studio View XL,3000
SGH-T699,1800
Q519+,2000
Neffos_Y7,4000
W-K130-TMV,2500
H8314,2870
SH-Z01,2700
PEARL,900
Beyond 3,4030
SM-A70,4500
Philips_S388,1700
i120,920
QMobile A65,3500
A10_Lite,2150
Smart5,4000
InFocus M320,900
MX5,3150
Studio G4,2000
Lenovo Z90-7,3000
5056E,2500
Note 9,4000
A7+ Pro,2800
SM-G357M,1500
SM-T335L,4450
4049X,1500
Y340-U081,2000
TA-4,3000
SM-G9006V,2800
LG-D625,2440
SM-T255S,3200
VS571,3000
J5 prime,2400
moto e6,3000
Platinum D5,1800
QMobile i8i Pro II,2120
ZTE BLADE A125,1250
Lenovo TB-8504L,4850
